StateCode,Sex,YearOfBirth,Name,Number
MI,M,2005,Corbin,45
MI,M,2005,Dillon,45
MI,M,2005,Emmanuel,45
MI,M,2005,Jaiden,45
MI,M,2005,Myles,45
MI,M,2005,Payton,45
MI,M,2005,Zane,45
MI,M,2005,Caiden,44
MI,M,2005,Cayden,44
MI,M,2005,Davion,44
MI,M,2005,Dustin,44
MI,M,2005,Jaxon,44
MI,M,2005,Omar,44
MI,M,2005,Erik,43
MI,M,2005,Ahmed,42
MI,M,2005,Braeden,42
MI,M,2005,Brock,42
MI,M,2005,Angelo,41
MI,M,2005,Dennis,41
MI,M,2005,Easton,41
MI,M,2005,Kyler,41
MI,M,2005,Nikolas,41
MI,M,2005,Giovanni,40
MI,M,2005,Leo,40
MI,M,2005,Aden,39
MI,M,2005,Zackary,39
MI,M,2005,Bryson,38
MI,M,2005,Douglas,38
MI,M,2005,Elliot,38
MI,M,2005,Kayden,38
MI,M,2005,Maurice,38
MI,M,2005,Damon,37
MI,M,2005,Darius,37
MI,M,2005,Harrison,37
MI,M,2005,Hassan,37
MI,M,2005,Oscar,37
MI,M,2005,Ahmad,36
MI,M,2005,Jaylin,36
MI,M,2005,Lorenzo,36
MI,M,2005,Cade,35
MI,M,2005,Casey,35
MI,M,2005,Cristian,35
MI,M,2005,Hudson,35
MI,M,2005,Jamari,35
MI,M,2005,Julius,35
MI,M,2005,Morgan,35
MI,M,2005,Reece,35
MI,M,2005,Dante,34
MI,M,2005,Louis,34
MI,M,2005,Martin,34
MI,M,2005,Trey,34
MI,M,2005,Allen,33
MI,M,2005,Darren,33
MI,M,2005,Braydon,32
MI,M,2005,Curtis,32
MI,M,2005,Damarion,32
MI,M,2005,Isiah,32
MI,M,2005,Javier,32
MI,M,2005,Keagan,32
MI,M,2005,Marco,32
MI,M,2005,Mekhi,32
MI,M,2005,Theodore,32
MI,M,2005,Amari,31
MI,M,2005,Camron,31
MI,M,2005,Eduardo,31
MI,M,2005,Ezekiel,31
MI,M,2005,Frank,31
MI,M,2005,Javon,31
MI,M,2005,Reese,31
MI,M,2005,Brendon,30
MI,M,2005,Charlie,30
MI,M,2005,Deshawn,30
MI,M,2005,Dorian,30
MI,M,2005,Maddox,30
MI,M,2005,Mohammed,30
MI,M,2005,Ryder,30
MI,M,2005,Shaun,30
MI,M,2005,Alexis,29
MI,M,2005,Deandre,29
MI,M,2005,Declan,29
MI,M,2005,Frederick,29
MI,M,2005,Hussein,29
MI,M,2005,Terrance,29
MI,M,2005,Walter,29
MI,M,2005,Abraham,28
MI,M,2005,Amir,28
MI,M,2005,Asher,28
MI,M,2005,Edwin,28
MI,M,2005,Francisco,28
MI,M,2005,Jude,28
MI,M,2005,Manuel,28
MI,M,2005,Ricardo,28
MI,M,2005,Tyson,28
MI,M,2005,Brent,27
MI,M,2005,Carl,27
MI,M,2005,Chad,27
MI,M,2005,Demetrius,27
MI,M,2005,Jadon,27
MI,M,2005,Keaton,27
MI,M,2005,Kristopher,27
MI,M,2005,Leonardo,27
MI,M,2005,Mohamad,27
MI,M,2005,Silas,27
MI,M,2005,Tayshaun,27
MI,M,2005,Tristen,27
MI,M,2005,Tucker,27
MI,M,2005,Antoine,26
MI,M,2005,Javion,26
MI,M,2005,Jorge,26
MI,M,2005,Reed,26
MI,M,2005,Alexzander,25
MI,M,2005,Andres,25
MI,M,2005,Andy,25
MI,M,2005,Cortez,25
MI,M,2005,Dayton,25
MI,M,2005,Hadi,25
MI,M,2005,Jamarion,25
MI,M,2005,Jerry,25
MI,M,2005,Maximus,25
MI,M,2005,Russell,25
MI,M,2005,Tony,25
MI,M,2005,Zachariah,25
MI,M,2005,Zion,25
MI,M,2005,Bryant,24
MI,M,2005,Emanuel,24
MI,M,2005,Ezra,24
MI,M,2005,Fernando,24
MI,M,2005,Grayson,24
MI,M,2005,Ibrahim,24
MI,M,2005,Israel,24
MI,M,2005,Jayce,24
MI,M,2005,Kai,24
MI,M,2005,Kamari,24
MI,M,2005,Marshall,24
MI,M,2005,Mathew,24
MI,M,2005,Quincy,24
MI,M,2005,Desmond,23
MI,M,2005,Graham,23
